d,target,EN,Ionic radius,C-rate,Lower cut-off voltage,Upper cut-off voltage,Li,Ni,Co,Mn,O,F,Na,Mg,Al,Cl,K,Ca,Ti,W,Fe,Zn,Zr,Nb,Mo,Ta,Sb,B
Li0.98Na0.02Ni0.6Co0.05Mn0.35O2,185,0.93,0.102,0.1,2.7,4.5,0.98,0.6,0.05,0.35,2,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.799Co0.1Mn0.1W0.001O2 ,173,2.36,0.06,0.1,2.8,4.2,1,0.799,0.1,0.1,2,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
LiNi0.65Co0.15Mn0.20O2,171.03,0,0,0.1,2.7,4.4,1,0.65,0.15,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.645Co0.15Mn0.20W0.005O2,207.99,2.36,0.06,0.1,2.7,4.4,1,0.645,0.15,0.2,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
LiNi0.64Co0.15Mn0.20W0.01O2,216.55,2.36,0.06,0.1,2.7,4.4,1,0.64,0.15,0.2,2,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
LiNi0.63Co0.15Mn0.20W0.02O2,189.7,2.36,0.06,0.1,2.7,4.4,1,0.63,0.15,0.2,2,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
LiNi0.6Co0.05Mn0.35O2?,184,0,0,0.5,3,4.5,1,0.6,0.05,0.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.91Co0.06Mn0.03O2,221.2,0,0,0.1,3,4.5,1,0.91,0.06,0.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.9Co0.0495Mn0.05Zn0.0005O2,209.7,1.65,0.074,0.5,3,4.3,1,0.9,0.0495,0.05,2,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0
LiNi0.9Co0.045Mn0.05Zn0.005O2,192.3,1.65,0.074,0.5,3,4.3,1,0.9,0.045,0.05,2,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.18Ti0.02O2,193,1.54,0.0605,0.1,3,4.5,1,0.6,0.2,0.18,2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O2,197,0,0,0.1,3,4.5,1,0.6,0.2,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.999Ta0.001O2,196.9,1.5,0.064,0.2,3,4.5,1,0.599,0.1998,0.1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
Li(Ni0.6Co0.2Mn0.2)0.9975Ta0.0025O2,188.2,1.5,0.064,0.2,3,4.5,1,0.5985,0.1995,0.1995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0
Li(Ni0.6Co0.2Mn0.2)0.995Ta0.005O2,186.5,1.5,0.064,0.2,3,4.5,1,0.597,0.199,0.199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
Li(Ni0.83Co0.11Mn0.06)0.99Mo0.01O2,173.1,2.16,0.059,0.1,2.7,4.3,1,0.8217,0.1089,0.0594,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0
(LiNi0.6Co0.2Mn0.2O2)1mol%Sb2,152.3,1.96,0.06,0.1,2.5,4.3,1,0.588,0.196,0.196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Li(Ni0.92Co0.04Mn0.04)0.99Zr0.01O2,225.2,1.33,0.072,0.1,2.5,4.4,1,0.9108,0.0396,0.0396,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
LiNi0.92Co0.04Mn0.04O2,230.1,0,0,0.1,2.5,4.4,1,0.92,0.04,0.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.85Co0.10Mn0.05O2,203.9,0,0,0.1,2.7,4.3,1,0.85,0.1,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.07Fe0.03Mn0.1O2,207.5,1.83,0.0645,0.1,2.8,4.3,1,0.8,0.07,0.1,2,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
LiNi0.83Co0.11Mn0.06O2,201.8,0,0,0.1,2.8,4.3,1,0.83,0.11,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.995Nb0.005O2,197.6,1.6,0.064,0.1,2.8,4.3,1,0.8258,0.1095,0.0597,2,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.99Nb0.01O2,194.3,1.6,0.064,0.1,2.8,4.3,1,0.8217,0.1089,0.0594,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Li(Ni0.83Co0.11Mn0.06)0.985Nb0.015O2,189.9,1.6,0.064,0.1,2.8,4.3,1,0.8175,0.1084,0.0591,2,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0
Li0.97K0.03Ni0.8Co0.1Mn0.1O2,192,0.82,0.138,0.1,2.8,4.3,0.97,0.8,0.1,0.1,2,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
LiNi0.8Co0.1Mn0.1O2,189.1,0,0,0.1,2.5,4.3,1,0.8,0.1,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.99Mg0.01O2,187.5,1.31,0.072,0.1,2.5,4.3,1,0.792,0.099,0.099,2,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.98Mg0.02O2,180.7,1.31,0.072,0.1,2.5,4.3,1,0.784,0.098,0.098,2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.8Co0.1Mn0.1)0.97Mg0.03O2,175.5,1.31,0.072,0.1,2.5,4.3,1,0.776,0.097,0.097,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
